Date_DD_MM_YY	Date_YYYY_MM_DD	Latitude	Longitude	Place	Value
1-Apr-54	19540401	-67.60269444	62.87380556	Mawson	1
3-Apr-54	19540403	-67.60269444	62.87380556	Mawson	90
4-Apr-54	19540404	-67.60269444	62.87380556	Mawson	200
7-Apr-54	19540407	-67.60269444	62.87380556	Mawson	280
10-Apr-54	19540410	-67.60269444	62.87380556	Mawson	340
17-Apr-54	19540417	-67.60269444	62.87380556	Mawson	440
26-Apr-54	19540426	-67.60269444	62.87380556	Mawson	560
16-May-54	19540516	-67.60269444	62.87380556	Mawson	660
29-Jun-54	19540629	-67.60269444	62.87380556	Mawson	990
27-Jul-54	19540727	-67.60269444	62.87380556	Mawson	1170
30-Aug-54	19540830	-67.60269444	62.87380556	Mawson	1350
2-Oct-54	19541002	-67.60269444	62.87380556	Mawson	1710
31-Oct-54	19541031	-67.60269444	62.87380556	Mawson	1640
2-Dec-54	19541202	-67.60269444	62.87380556	Mawson	1450
15-Dec-54	19541215	-67.60269444	62.87380556	Mawson	1330
17-Dec-54	19541217	-67.60269444	62.87380556	Mawson	1320
26-Jan-55	19550126	-67.60269444	62.87380556	Mawson	1
16-Mar-55	19550316	-67.60269444	62.87380556	Mawson	1
20-Mar-55	19550320	-67.60269444	62.87380556	Mawson	80
3-Apr-55	19550403	-67.60269444	62.87380556	Mawson	380
27-Apr-55	19550427	-67.60269444	62.87380556	Mawson	690
5-Jun-55	19550605	-67.60269444	62.87380556	Mawson	740
15-Jul-55	19550715	-67.60269444	62.87380556	Mawson	990
27-Aug-55	19550827	-67.60269444	62.87380556	Mawson	1370
25-Sep-55	19550925	-67.60269444	62.87380556	Mawson	1520
20-Oct-55	19551020	-67.60269444	62.87380556	Mawson	1460
14-Dec-55	19551214	-67.60269444	62.87380556	Mawson	1330
29-Jan-56	19560129	-67.60269444	62.87380556	Mawson	1
14-Mar-56	19560314	-67.60269444	62.87380556	Mawson	1
18-Mar-56	19560318	-67.60269444	62.87380556	Mawson	1
21-Mar-56	19560321	-67.60269444	62.87380556	Mawson	1
26-Mar-56	19560326	-67.60269444	62.87380556	Mawson	280
27-May-56	19560527	-67.60269444	62.87380556	Mawson	910
27-Nov-56	19561127	-67.60269444	62.87380556	Mawson	1360
8-Dec-56	19561208	-67.60269444	62.87380556	Mawson	1230
13-Dec-56	19561213	-67.60269444	62.87380556	Mawson	1180
16-Dec-56	19561216	-67.60269444	62.87380556	Mawson	1160
18-Dec-56	19561218	-67.60269444	62.87380556	Mawson	1030
20-Dec-56	19561220	-67.60269444	62.87380556	Mawson	960
21-Dec-56	19561221	-67.60269444	62.87380556	Mawson	880
23-Dec-56	19561223	-67.60269444	62.87380556	Mawson	740
25-Dec-56	19561225	-67.60269444	62.87380556	Mawson	670
28-Dec-56	19561228	-67.60269444	62.87380556	Mawson	600
1-Jan-57	19570101	-67.60269444	62.87380556	Mawson	550
3-Jan-57	19570103	-67.60269444	62.87380556	Mawson	520
4-Jan-57	19570104	-67.60269444	62.87380556	Mawson	500
6-Jan-57	19570106	-67.60269444	62.87380556	Mawson	470
8-Jan-57	19570108	-67.60269444	62.87380556	Mawson	380
20-Jan-57	19570120	-67.60269444	62.87380556	Mawson	1
21-Mar-57	19570321	-68.57661111	77.96738889	Davis	1
22-Mar-57	19570322	-68.57661111	77.96738889	Davis	140
23-Mar-57	19570323	-68.57661111	77.96738889	Davis	160
25-Mar-57	19570325	-68.57661111	77.96738889	Davis	230
26-Mar-57	19570326	-68.57661111	77.96738889	Davis	240
31-Mar-57	19570331	-68.57661111	77.96738889	Davis	280
31-Mar-57	19570331	-67.60269444	62.87380556	Mawson	1
6-Apr-57	19570406	-67.60269444	62.87380556	Mawson	205
7-Apr-57	19570407	-68.57661111	77.96738889	Davis	340
8-Apr-57	19570408	-67.60269444	62.87380556	Mawson	230
10-Apr-57	19570410	-67.60269444	62.87380556	Mawson	270
14-Apr-57	19570414	-68.57661111	77.96738889	Davis	390
15-Apr-57	19570415	-67.60269444	62.87380556	Mawson	420
16-Apr-57	19570416	-67.60269444	62.87380556	Mawson	430
17-Apr-57	19570417	-67.60269444	62.87380556	Mawson	450
18-Apr-57	19570418	-67.60269444	62.87380556	Mawson	465
19-Apr-57	19570419	-67.60269444	62.87380556	Mawson	475
21-Apr-57	19570421	-68.57661111	77.96738889	Davis	440
21-Apr-57	19570421	-67.60269444	62.87380556	Mawson	490
22-Apr-57	19570422	-67.60269444	62.87380556	Mawson	490
23-Apr-57	19570423	-67.60269444	62.87380556	Mawson	485
24-Apr-57	19570424	-67.60269444	62.87380556	Mawson	490
25-Apr-57	19570425	-67.60269444	62.87380556	Mawson	495
26-Apr-57	19570426	-67.60269444	62.87380556	Mawson	495
27-Apr-57	19570427	-67.60269444	62.87380556	Mawson	500
28-Apr-57	19570428	-68.57661111	77.96738889	Davis	560
28-Apr-57	19570428	-67.60269444	62.87380556	Mawson	500
29-Apr-57	19570429	-67.60269444	62.87380556	Mawson	510
30-Apr-57	19570430	-67.60269444	62.87380556	Mawson	515
1-May-57	19570501	-67.60269444	62.87380556	Mawson	535
2-May-57	19570502	-67.60269444	62.87380556	Mawson	545
3-May-57	19570503	-67.60269444	62.87380556	Mawson	565
4-May-57	19570504	-67.60269444	62.87380556	Mawson	580
5-May-57	19570505	-68.57661111	77.96738889	Davis	580
5-May-57	19570505	-67.60269444	62.87380556	Mawson	590
6-May-57	19570506	-67.60269444	62.87380556	Mawson	610
7-May-57	19570507	-67.60269444	62.87380556	Mawson	620
8-May-57	19570508	-67.60269444	62.87380556	Mawson	640
9-May-57	19570509	-67.60269444	62.87380556	Mawson	640
10-May-57	19570510	-67.60269444	62.87380556	Mawson	645
