Index	Date	Site	Latitude	Longitude	O3
1	20050808	2008	34.4622	-120.0258	0.044
2	20050808	2013	36.7055	-119.7413	0.081
3	20050808	2016	36.4819	-121.7333	0.035
4	20050808	2032	36.3325	-119.2908	0.08
5	20050808	2040	32.8364	-117.1289	0.053
6	20050808	2077	34.0588	-117.1477	0.077
7	20050808	2088	34.2805	-119.3152	0.051
8	20050808	2094	37.9516	-121.2688	0.059
9	20050808	2102	38.0169	-121.8836	0.041
10	20050808	2105	38.4436	-122.7091	0.027
11	20050808	2114	36.5975	-119.5036	0.09
12	20050808	2115	39.7575	-121.8422	0.069
13	20050808	2123	38.7122	-121.3811	0.057
14	20050808	2125	37.4824	-122.2033	0.029
15	20050808	2143	38.5352	-121.773	0.052
16	20050808	2160	34.1322	-118.1277	0.083
17	20050808	2199	33.8194	-116.4899	0.068
18	20050808	2208	39.3274	-120.1847	0.078
19	20050808	2221	34.1066	-117.2736	0.096
20	20050808	2225	37.8013	-122.2672	0.019
21	20050808	2249	33.9252	-117.9522	0.065
22	20050808	2263	33.1278	-117.0753	0.061
23	20050808	2266	34.1005	-117.4922	0.094
24	20050808	2293	37.5358	-121.9616	0.035
25	20050808	2312	35.3458	-118.8505	0.097
26	20050808	2320	36.9997	-121.5752	0.057
27	20050808	2321	35.3664	-120.8428	0.036
28	20050808	2327	32.7908	-116.9424	0.06
29	20050808	2329	37.0119	-122.1939	0.032
30	20050808	2360	34.6377	-120.4577	0.036
31	20050808	2368	32.9524	-117.2633	0.051
32	20050808	2373	37.7661	-122.3977	0.029
33	20050808	2410	38.1025	-122.238	0.03
34	20050808	2420	34.1991	-118.5327	0.105
35	20050808	2429	33.8241	-118.1894	0.047
36	20050808	2460	32.8422	-116.7683	0.078
37	20050808	2484	34.1364	-117.9239	0.084
38	20050808	2485	34.1033	-117.6288	0.095
39	20050808	2492	34.1758	-118.3169	0.079
40	20050808	2494	34.0505	-118.4566	0.067
41	20050808	2499	34.2413	-117.2755	0.094
42	20050808	2525	33.7888	-117.2277	0.081
43	20050808	2551	32.7922	-115.5631	0.077
44	20050808	2583	33.9288	-118.2108	0.048
45	20050808	2589	32.6314	-117.0592	0.052
46	20050808	2593	34.6077	-120.0733	0.059
47	20050808	2596	34.0005	-117.4152	0.101
48	20050808	2613	37.228	-121.9791	0.038
49	20050808	2622	37.9727	-122.5183	0.028
50	20050808	2628	36.8433	-121.3622	0.046
