Country	OA_Rank
Albania	57
Algeria	85
Argentina	46
Australia	4
Austria	18
Azerbaijan	69
Bangladesh	88
Belarus	56
Belgium	19
Bolivia	77
Botswana	80
Brazil	48
Bulgaria	38
Burkina_Faso	100
Cameroon	98
Canada	7
Chile	30
China	59
Colombia	62
Costa_Rica	35
Croatia	28
Cuba	50
Czech_Republic	25
Denmark	10
Dominican_Republic	55
Ecuador	70
Egypt	74
El_Salvador	72
Estonia	32
Ethiopia	94
Finland	1
France	16
Germany	12
Ghana	86
Greece	26
Guatemala	84
Honduras	76
Hungary	33
India	78
Indonesia	73
Iran	79
Ireland	17
Israel	22
Italy	23
Jamaica	47
Japan	9
Jordan	53
Kazakhstan	61
Kenya	87
Korea_South	15
Kuwait	40
Latvia	36
Lithuania	34
Luxembourg	5
Madagascar	90
Malaysia	37
Mexico	45
Morocco	67
Mozambique	95
Netherlands	8
New_Zealand	13
Nicaragua	75
Nigeria	99
Norway	6
Oman	60
Pakistan	89
Panama	41
Paraguay	68
Peru	42
Philippines	63
Poland	29
Portugal	27
Qatar	54
Romania	39
Russia	51
Saudi_Arabia	64
Senegal	91
Singapore	20
Slovakia	31
Slovenia	24
South_Africa	82
Spain	21
Sri_Lanka	66
Sweden	3
Switzerland	2
Syria	83
Tanzania	93
Thailand	58
Tunisia	65
Turkey	52
Uganda	96
Ukraine	49
United_Arab_Emirates	43
United_Kingdom	14
United_States	11
Uruguay	44
Venezuela	71
Vietnam	81
Yemen	92
Zambia	97
