x	Y	View
11	73	RF
20	88	RF
19	73	RF
15	65	RF
21	57	RF
26	101	RF
24	117	RF
35	106	RF
37	96	RF
35	147	RF
41	151	RF
42	137	RF
43	127	RF
41	206	RF
47	213	RF
49	238	RF
40	229	RF
48	236	RF
41	232	RF
48	148	RF
51	207	RF
42	206	RF
50	154	RF
48	213	RF
50	243	RF
52	247	RF
47	206	RF
46	283	RF
45	205	RF
53	252	RF
51	233	RF
51	192	RF
51	208	RF
48	242	RF
49	205	RF
52	233	RF
45	244	RF
45	229	RF
48	184	RF
47	212	RF
47	240	RF
51	216	RF
45	238	RF
48	215	RF
52	209	RF
45	240	RF
49	192	RF
53	205	RF
47	205	RF
44	161	RF
49	197	RF
50	207	RF
49	207	RF
48	262	RF
47	219	RF
51	211	RF
52	204	RF
53	206	RF
50	209	RF
51	200	RF
49	184	RF
46	235	RF
55	181	RF
52	182	RF
50	217	RF
52	234	RF
45	203	RF
45	252	RF
55	206	RF
47	226	RF
53	209	RF
51	190	RF
47	226	RF
50	197	RF
54	229	RF
54	288	RF
48	230	RF
53	216	RF
47	247	RF
47	228	RF
50	209	RF
51	208	RF
52	204	RF
56	198	RF
51	258	RF
48	206	RF
55	249	RF
56	268	RF
46	210	RF
54	230	RF
56	251	RF
54	238	RF
56	176	RF
55	179	RF
46	215	RF
53	240	RF
55	170	RF
54	216	RF
53	202	RF
51	208	RF
50	252	RF
53	189	RF
56	244	RF
47	213	RF
47	225	RF
52	229	RF
56	232	RF
49	213	RF
50	197	RF
55	204	RF
50	218	RF
50	197	RF
48	239	RF
53	207	RF
48	205	RF
52	221	RF
48	230	RF
55	226	RF
55	196	RF
55	226	RF
58	190	RF
50	194	RF
57	212	RF
51	184	RF
57	240	RF
57	250	RF
50	245	RF
53	203	RF
54	246	RF
48	178	RF
55	226	RF
58	224	RF
55	213	RF
51	200	RF
57	201	RF
49	198	RF
51	213	RF
53	192	RF
58	213	RF
54	221	RF
50	214	RF
56	275	RF
58	213	RF
53	159	RF
59	258	RF
52	133	RF
51	201	RF
52	238	RF
49	149	RF
50	249	RF
49	238	RF
55	224	RF
50	199	RF
53	217	RF
52	223	RF
56	248	RF
55	202	RF
55	215	RF
57	203	RF
49	193	RF
55	199	RF
49	222	RF
51	249	RF
51	243	RF
54	200	RF
55	214	RF
57	210	RF
58	293	RF
51	203	RF
52	217	RF
59	200	RF
57	208	RF
51	243	RF
59	282	RF
57	205	RF
53	213	RF
54	183	RF
56	205	RF
57	214	RF
54	217	RF
52	204	RF
57	246	RF
58	279	RF
55	189	RF
53	242	RF
52	207	RF
58	236	RF
59	167	RF
52	201	RF
52	198	RF
54	205	RF
59	198	RF
59	221	RF
61	199	RF
52	195	RF
59	223	RF
58	198	RF
57	213	RF
58	215	RF
53	203	RF
52	212	RF
55	204	RF
60	211	RF
60	201	RF
57	234	RF
54	277	RF
58	183	RF
53	218	RF
60	248	RF
55	210	RF
60	218	RF
53	204	RF
55	210	RF
57	210	RF
51	271	RF
55	197	RF
51	291	RF
57	205	RF
54	204	RF
52	202	RF
61	208	RF
58	186	RF
53	236	RF
54	192	RF
53	261	RF
61	225	RF
57	209	RF
52	192	RF
60	198	RF
60	196	RF
59	224	RF
62	210	RF
53	193	RF
53	203	RF
58	203	RF
57	215	RF
58	210	RF
59	214	RF
57	219	RF
60	239	RF
58	197	RF
60	193	RF
56	203	RF
56	208	RF
57	217	RF
59	237	RF
58	244	RF
58	206	RF
55	225	RF
62	219	RF
62	225	RF
53	219	RF
57	208	RF
59	222	RF
55	203	RF
62	209	RF
56	178	RF
56	206	RF
58	313	RF
55	203	RF
62	205	RF
58	213	RF
55	194	RF
54	226	RF
57	207	RF
55	203	RF
55	271	RF
61	238	RF
60	216	RF
59	218	RF
63	232	RF
62	202	RF
60	169	RF
62	206	RF
59	219	RF
57	201	RF
55	192	RF
56	254	RF
56	200	RF
56	246	RF
63	224	RF
60	306	RF
58	202	RF
57	207	RF
58	248	RF
62	201	RF
55	184	RF
56	232	RF
63	220	RF
57	220	RF
56	225	RF
63	194	RF
62	181	RF
62	226	RF
58	211	RF
62	166	RF
55	221	RF
59	299	RF
55	214	RF
65	204	RF
60	196	RF
60	209	RF
63	190	RF
60	199	RF
56	217	RF
59	191	RF
57	195	RF
60	222	RF
63	211	RF
57	174	RF
60	208	RF
55	214	RF
61	224	RF
60	199	RF
61	221	RF
60	142	RF
57	238	RF
55	166	RF
65	228	RF
56	217	RF
55	206	RF
59	234	RF
56	210	RF
61	220	RF
55	234	RF
58	211	RF
64	231	RF
58	242	RF
61	210	RF
64	239	RF
60	213	RF
63	253	RF
58	194	RF
61	229	RF
57	205	RF
65	209	RF
57	242	RF
61	220	RF
65	195	RF
64	224	RF
62	202	RF
57	261	RF
62	172	RF
60	197	RF
64	192	RF
58	221	RF
60	210	RF
65	209	RF
56	221	RF
61	218	RF
57	204	RF
60	210	RF
61	219	RF
62	251	RF
65	213	RF
56	225	RF
61	168	RF
58	283	RF
60	187	RF
66	192	RF
58	228	RF
65	216	RF
58	221	RF
61	240	RF
64	226	RF
63	187	RF
57	206	RF
65	171	RF
63	328	RF
58	216	RF
57	202	RF
59	200	RF
59	214	RF
64	226	RF
67	241	RF
66	219	RF
66	216	RF
64	204	RF
62	250	RF
63	220	RF
59	206	RF
60	216	RF
67	172	RF
59	223	RF
61	208	RF
57	233	RF
63	197	RF
60	206	RF
61	200	RF
67	205	RF
67	204	RF
65	223	RF
60	223	RF
61	213	RF
61	214	RF
67	205	RF
64	211	RF
62	211	RF
60	200	RF
59	215	RF
59	200	RF
62	232	RF
58	187	RF
65	261	RF
64	204	RF
64	222	RF
61	199	RF
62	210	RF
68	201	RF
62	201	RF
65	207	RF
65	222	RF
64	210	RF
65	280	RF
64	240	RF
67	224	RF
62	220	RF
66	184	RF
62	236	RF
67	202	RF
66	216	RF
65	217	RF
66	197	RF
66	222	RF
59	231	RF
64	215	RF
68	249	RF
60	239	RF
60	229	RF
58	274	RF
66	212	RF
65	208	RF
60	202	RF
67	211	RF
60	224	RF
60	199	RF
63	199	RF
58	200	RF
64	218	RF
59	151	RF
61	239	RF
61	206	RF
68	214	RF
66	223	RF
62	214	RF
61	210	RF
64	265	RF
61	286	RF
67	175	RF
59	276	RF
62	214	RF
65	210	RF
61	209	RF
68	165	RF
67	261	RF
64	166	RF
66	211	RF
66	203	RF
60	205	RF
68	227	RF
64	215	RF
65	230	RF
69	206	RF
69	176	RF
62	207	RF
69	188	RF
60	216	RF
69	218	RF
65	210	RF
69	181	RF
66	207	RF
62	199	RF
64	231	RF
63	199	RF
62	205	RF
69	184	RF
62	255	RF
69	186	RF
67	214	RF
66	217	RF
68	296	RF
67	235	RF
63	228	RF
63	253	RF
62	226	RF
61	224	RF
62	205	RF
61	188	RF
69	222	RF
64	180	RF
68	198	RF
66	208	RF
68	180	RF
65	215	RF
64	251	RF
66	229	RF
67	236	RF
61	207	RF
69	202	RF
60	197	RF
69	210	RF
64	251	RF
63	182	RF
67	194	RF
65	225	RF
70	206	RF
66	224	RF
66	199	RF
69	183	RF
71	228	RF
62	205	RF
66	207	RF
68	223	RF
69	200	RF
71	208	RF
68	239	RF
63	293	RF
62	184	RF
71	206	RF
67	204	RF
66	215	RF
70	200	RF
71	169	RF
